id;country
Yao, Eric;United States
Zhang, Xiao-Qi;Australia
Zhou, Gaofeng;Australia
Zhou, Zhou;Canada
Tinker, Nicholas A;Canada
Fiedler, Jason D;United States
Li, Chengdao;Australia
Maughan, Peter J;United States
Spannagl, Manuel;Germany
Mascher, Martin;Germany
Fang;Denmark
Zhang;China
Niu, Yongchao;China
Wang, Zhen;China
Li;China
Liu;China
Zhang;China
Gao, Yahui;United States
Wang;China
Groenen;Netherlands
Loegler, Victor;France
Friedrich, Anne;France
Schacherer, Joseph;France
Macias-Velasco, Juan F;Unknown
Zhang, Wenjin;Unknown
Zhuo, Xiaoyu;Unknown
Tomlinson, Chad;Unknown
Lindsay, Tina;Unknown
Li, Daofeng;Unknown
Wang, Ting;Unknown
Novak, Adam M;United States
Eizenga, Jordan M;United States
Délot, Emmanuèle C;United States
Lee, Seung Hwan;Korea, Democratic People's Republic of
Kim, Jun;Korea, Democratic People's Republic of
Mohamedikbal, Shameela;Australia
Batley, Jacqueline;Australia
Edwards, David;Australia
Chaichana, Nattarika;Thailand
Boonsan, Jirasa;Thailand
Dechathai, Thitaporn;Thailand
Suwannasin, Sirikan;Thailand
Singkhamanan, Kamonnut;Thailand
Wonglapsuwan, Monwadee;Thailand
Pomwised, Rattanaruji;Thailand
Surachat, Komwit;Thailand
Xiang, Xinran;China
Yoon, Jung-Hoon;Korea, Democratic People's Republic of
Sukhoom, Ampaitip;Thailand
Kim, Wonyong;Korea, Democratic People's Republic of
Liu, Ze;China
Wang, Yu;China
Li, Tao;China
Li, Wei;China
Xing, Longsheng;China
Du, Huilong;China
He, Qiang;China
Toppino, Laura;Italy
Prohens, Jaime;Spain
Portis, Ezio;Italy
Lanteri, Sergio;Italy
Rotino, Giuseppe Leonardo;Italy
Giuliano, Giovanni;Italy
Usadel, Björn;Germany
Barchi, Lorenzo;Italy
Zhang, Chi;China
Wu, Yi;China
Golicz, Agnieszka A;Germany
Snowdon, Rod J;Germany
Bu, Congfan;China
Zhang, Hao;China
Liu, Qian;China
Zhang, Zhewen;China
Jin, Zhong;China
Xiao, Jingfa;China
Zhang, Hong;China
Gomila, Margarita;Spain
Moore, Edward R B;Sweden
Karlsson, Roger;Sweden
Shivakumar;Unknown
Negrete-Paz, Andrea Monserrat;Mexico
Vázquez-Marrufo, Gerardo;Mexico
Vázquez-Garcidueñas, Ma Soledad;Mexico
Chen, Zhao;United States
Huang, Miaomiao;China
Zheng, Peng;China
Li, Ning;China
Chen, Qionglin;China
Liu, Yan;China
Tao, Xiaoyuan;China
Yu, Jingyin;China
Xu, Shengchun;China
Rodrigues, Jose A;United States
Blankenship, Heather M;United States
Cha, Wonhee;United States
Mukherjee, Sanjana;United States
Sloup, Rebekah E;United States
Manning, Shannon D;United States
Croll, Daniel;Switzerland
Zhang, Jing;China
Su, Jing;China
Yu, Li-Yan;China
Zhang, Yu-Qin;China
McInerney, James O;United Kingdom
Campos-Dominguez, Lucía;Spain
Castanera, Raúl;Spain
Grover, Corrinne E;United States
Wendel, Jonathan F;United States
Casacuberta, Josep M;Spain
Yang, Ning;China
Yan, Jianbing;China
Yang, Xiaohong;China
Zhou, Lu;China
Zhang, Wei;China
Zhang, Ying;China
Tan, Zhongming;China
Sadaqat, Muhammad;France
Tahir Ul Qamar, Muhammad;Pakistan
Li, Risheng;China
Zhao, Junliang;China
Huang, Zetong;China
Cao, Shengliang;China
Li, Yubao;China
Sorin, Valentin;France
Birbes, Clément;France
Grohs, Cécile;France
Fritz, Sébastien;France
Eché, Camille;France
Suin, Amandine;France
Donnadieu, Cécile;France
Gaspin, Christine;France
Iampietro, Carole;France
Milan, Denis;France
Boichard, Didier;France
Klopp, Christophe;France
Sanchez, Marie-Pierre;France
Boussaha, Mekki;France
Okoth, Patrick;Kenya
Wekesa, Clabe;Kenya
Xue, Zhengfa;China
Jin, Xin;China
Zhu, Huanhuan;China
Wang, Jiayin;China
Prodanov, Timofey;Germany
Plender, Elizabeth G;United States
Seebohm, Guiscard;Germany
Meuth, Sven G;Germany
Eichler, Evan E;United States
Marschall, Tobias;Germany
Deschner, Darien;Canada
Hill, Janet E;Canada
Zhou, Baoqing;China
Zhang, Ticao;China
Cao, Qiang;China
Qiao, Qin;China
Zhang, Zhen;China
Li, Min;China
Yu, Keyi;China
Trisakul, Kanwara;Thailand
Rotcheewaphan, Suwatchareeporn;Thailand
Phelan, Jody;United Kingdom
Clark, Taane G;United Kingdom
Faksri, Kiatichai;Thailand
Sheppard, Samuel K;United Kingdom
Handa, Hirokazu;Japan
Lang, Daniel;Germany
Naamati, Guy;United Kingdom
Uauy, Cristobal;United Kingdom
Krattinger, Simon G;Saudi Arabia
Pozniak, Curtis;Canada
Cummins, Elizabeth A;United Kingdom
van Schaik, Willem;United Kingdom
Moran, Robert A;United Kingdom
Liu, Zhengwei;China
Ou, Xichao;China
Li, Xiangchen;China
Zhu, Yelei;China
Lu, Yewei;China
Che, Yang;China
Wu, Kunyang;China
Wang, Xiaomeng;China
Zhao, Yanlin;China
Lou, Runyang Nicolas;United States
Rocha, Joana L;United States
Mitchell, Matthew W;Unknown
Sudmant, Peter H;United States
Karthik, Kumaragurubaran;India
Anbazhagan, Subbaiyan;India
Thomas, Prasad;India
Manoharan, Seeralan;India
Faraut, Thomas;France
Kuchly, Claire;France
MacNish, Tessa R;Australia
Yuan, Yuxuan;Australia
Bayer, Philipp E;Australia
Tay Fernandez, Cassandria G;Australia
Scheben, Armin;Australia
Elrefaey, Asmaa;United States
Bentum, Kingsley E;United States
Kuufire, Emmanuel;United States
James, Tyric;United States
Nyarku, Rejoice;United States
Osei, Viona;United States
Woube, Yilkal;United States
Samuel, Temesgen;United States
Abebe, Woubit;United States
Potter, Robert F;Panama
Nguyen, Co Thi Kim;Viet Nam
Nguyen, Hoang Duc;Viet Nam
Negus, David;United Kingdom
Hoyles, Lesley;United Kingdom
Wang, Sibo;China
Ruan, Jue;China
Xu, Xun;China
Liu, Huan;China
Liu, Yang;China
Fouts, Derrick E;United States
Clarke, Thomas H;United States
Liu, Xin;China
Shen, Fei;China
Khatoon, Ambrina;Pakistan
Karim, Asad;Pakistan
Allsing, Nicholas;United States
McDonald, Daniel;United States
Mamerto, Allen;United States
Murray, Emily R;United States
Duong, Tiffany;United States
Knight, Rob;United States
Michael, Todd P;United States
Singh, Harpreet;India
Behruznia, Mahboobeh;United Kingdom
Marin, Maximillian;United States
Farhat, Maha Reda;United States
Meehan, Conor J;United Kingdom
Kupczok, Anne;Netherlands
Baumdicker, Franz;Germany
Chakraborty, Mahul;Unknown
Derks, Martijn F L;Netherlands
Vuong, Tri D;United States
Valliyodan, Babu;United States
Nguyen, Henry T;United States
Chaity, Sudipta Chowdhury;Bangladesh
Hosen, Md Arman;Bangladesh
Rahman, Sabita Rezwana;Bangladesh
Khan, Md Abu Sayem;Bangladesh
Bosnea, Loulouda;Greece
Mataragas, Marios;Greece
Popov, Ilia V;Russian Federation
Chikindas, Michael L;United States
Popov, Igor V;Russian Federation
Kileeg, Zachary;Canada
Mott, G Adam;Canada
Maurizi, Linda;Italy
Brunetti, Francesca;Italy
Conte, Antonietta Lucia;Italy
Conte, Maria Pia;Italy
Longhi, Catia;Italy
Shahed, Khandker;Bangladesh
Islam, Sk Injamamul;Bangladesh
Barber, Amelia E;Germany
Zhang, Minghu;China
Shen, Mang;China
Dishuck, Philip C;United States
Munson, Katherine M;United States
Lewis, Alexandra P;United States
Dougherty, Max L;United States
Underwood, Jason G;United States
Harvey, William T;United States
Hsieh, PingHsun;United States
Pastinen, Tomi;United States
Chandra, Ghanshyam;India
Hossen, Md Helal;United States
Scholz, Stephan;Germany
Dilthey, Alexander T;Germany
Gibney, Daniel;United States
Jain, Chirag;India
Zhang, Hongyu;China
Liu, Jianan;China
Wang, Meijia;China
Lu, Shiying;China
Hu, Pan;China
Li, Yansong;China
Lu, Qiang;China
Ren, Honglin;China
Vorbrugg, Sebastian;Germany
Rabanal, Fernando A;Germany
Fitz, Joffrey;Germany
Collenberg, Max;Germany
Kubica, Christian;Germany
Llaca, Victor;United States
Lanz, Christa;Germany
Weigel, Detlef;Germany
Archibald, John M;Canada
Zhao, Pengju;China
Peng, Lingwei;China
Dai, Xuelei;China
Yang, Liu;United States
Lan, Xianyong;China
Yang, Liguo;China
Zhou, Yang;China
Rosani, Umberto;Italy
Gerdol, Marco;Italy
Chen, Ling-Ling;China
Song, Jia-Ming;China
Liu, Cheng;China
Hatmaker, E Anne;United States
Drott, Milton T;United States
Sauters, Thomas J C;United States
Gumilang, Adiyantara;United States
Alastruey-Izquierdo, Ana;Spain
Garcia-Hermoso, Dea;France
Keller, Nancy P;United States
Kurzai, Oliver;Germany
Rokas, Antonis;United States
Ahmad, Bilal;China
Su, Ying;China
Huang, Guizhou;China
Su, Xiangnian;China
Li, Chaochao;China
Yang, Xuanwen;China
Chu, Zhenzhou;China
Jin, Zhongxin;China
Xu, Xiaodong;China
Peng, Yanling;China
Chen, Chengjie;China
Xiao, Hua;China
Zhou, Yongfeng;China
Tian, Xinmin;China
Depuydt, Lore;Belgium
Renders, Luca;Belgium
Van de Vyver, Simon;Belgium
Veys, Lennart;Belgium
Fostier, Jan;Belgium
Nagasaki, Masao;Japan
Tokunaga, Katsushi;Japan
Kawai, Yosuke;Japan
Seetharam, Arun S;United States
Hufford, Matthew B;United States
Hayes, Chad;United States
Jiao, Yinping;United States
Weers, Tristan;United States
Feng, Yiling;United States
Peters, Reuben J;United States
Hasan, Nabeeh A;United States
Epperson, L Elaine;United States
Vang, Charmie K;United States
Honda, Jennifer R;United States
Strong, Michael;United States
Wang, Jing;China
Rauniyar, Shailabh;United States
Thakur, Payal;United States
Saxena, Priya;United States
Bazin, Adelme;France
Bomgni, Alain;United States
Kwon, Youngjun;United States
Hoekzema, Kendra;United States
Du, Ze-Zhen;China
He, Jia-Bao;China
Jiao, Wen-Biao;China
Robicheau, Brent M;United States
LaRoche, Julie;Canada
Hirono, Ikuo;Japan
Kondo, Hidehiro;Japan
Jiang, Yu;China
Hinthong, Woranich;United Kingdom
Campino, Susana;United Kingdom
Kwok, Lai-Yu;China
Sun, Zhihong;China
Jha, Uday Chand;India
Naik, Yogesh Dashrath;India
Nayyar, Harsh;India
Beena, Radha;India
Kudapa, Himabindu;India
Thudi, Mahendar;United States
Siddique, Kadambot H M;Australia
Wang, Jian;China
Ma, Yamei;China
Yang, Tifeng;China
Liu, Chuanguang;China
Rotaru, Liviu-Iulian;Romania
Surleac, Marius;Romania
van Workum, Dirk-Jan M;Netherlands
Smit, Sandra;Netherlands
Li, Qiang;China
Fu, Yanhong;China
Zhang, Chenhao;China
Song, Xiaoming;China
Lonardi, Stefano;United States
Hu, Ming;China
Wan, Penglong;China
Tang, Shuyuan;China
Chen, Jiahao;China
Wang, Liang;China
Chen, Jinfeng;China
Gaut, Brandon S;United States
Emerson, J J;United States
Liao, Yi;China
Rodriguez-Valera, Francisco;Spain
Molina-Pardines, Carmen;Spain
Qin, Chuhan;Canada
Lypaczewski, Patrick;Canada
Brinkley, Lindsey;United States
Creasy-Marrazzo, Ashton;United States
Cato, Emilee T;United States
Islam, Kamrul;Bangladesh
Begum, Yasmin;Bangladesh
Qadri, Firdausi;Bangladesh
Khan, Ashraful I;Bangladesh
Nelson, Eric J;United States
Shapiro, B Jesse;Canada
Ono, Masayuki;Japan
Yamaguchi, Masaya;Japan
Motooka, Daisuke;Japan
Hirose, Yujiro;Japan
Higashi, Kotaro;Japan
Kawabata, Shigetada;Japan
Chen, Shicheng;United States
Blom, Jochen;Germany
Walker, Edward D;United States
Logsdon, Glennis A;United States
Ebert, Peter;Germany
Audano, Peter A;United States
Loftus, Mark;United States
Porubsky, David;United States
Ebler, Jana;Germany
Yilmaz, Feyza;United States
Hallast, Pille;United States
Yoo, DongAhn;United States
Paisie, Carolyn A;United States
Zhao, Xuefang;United States
Martino, Gianni V;United States
Henglin, Mir;Germany
Rabbani, Keon;United States
Chin, Chen-Shan;United States
Gu, Bida;United States
Ashraf, Hufsah;Germany
Austine-Orimoloye, Olanrewaju;United Kingdom
Balachandran, Parithi;United States
Bonder, Marc Jan;Netherlands
Cheng, Haoyu;United States
Chong, Zechen;United States
Crabtree, Jonathan;United States
Gerstein, Mark;United States
Guethlein, Lisbeth A;United States
Hasenfeld, Patrick;Germany
Hunt, Sarah E;United Kingdom
Jensen, Matthew;United States
Jiang, Yunzhe;United States
Koren, Sergey;United States
Li, Chong;United States
Li, Jiaqi;United States
Norman, Paul J;United States
Oshima, Keisuke K;United States
Phillippy, Adam M;United States
Pollock, Nicholas R;United States
Rausch, Tobias;Germany
Rautiainen, Mikko;Finland
Song, Yuwei;United States
Söylev, Arda;Germany
Sulovari, Arvis;United States
Surapaneni, Likhitha;United Kingdom
Tsapalou, Vasiliki;Germany
Zhou, Weichen;United States
Zhou, Ying;United States
Zhu, Qihui;United States
Zody, Michael C;United States
Mills, Ryan E;United States
Devine, Scott E;United States
Shi, Xinghua;United States
Chaisson, Mark J P;United States
Konkel, Miriam K;United States
Korbel, Jan O;Germany
Lee, Charles;United States
Beck, Christine R;United States
Lovell, John T;United States
Walstead, Rachel;United States
Barry, Kerrie;United States
Goodstein, David;United States
Jenkins, Jerry;United States
Lipzen, Anna;United States
Boston, LoriBeth;United States
Webber, Jenell;United States
Talag, Jayson;United States
Grimwood, Jane;United States
Schmutz, Jeremy;United States
Wang, Zhiyong;China
Peng, Mu;China
Xu, Ruiqiang;China
Mondol, Spencer Mark;Bangladesh
Islam, Md Rafiul;Bangladesh
Shakil, Shahriar Kabir;Bangladesh
Islam, Israt;Bangladesh
Rakhi, Nadira Naznin;Bangladesh
Mustary, Jannatul Ferdous;Bangladesh
Amiruzzaman;Bangladesh
Rahaman, Md Mizanur;Bangladesh
Tang, Jie;China
Hu, Zhe;China
Daroch, Maurycy;China
Sholeh, Mohammad;Iran, Islamic Republic of
Beig, Masoumeh;Iran, Islamic Republic of
Badmasti, Farzad;Iran, Islamic Republic of
Pradhan, Abani K;United States
Blaustein, Ryan A;United States
Salamzade, Rauf;United States
Kottapalli, Aamuktha;United States
Kalan, Lindsay R;United States
Mannan, Ayman Bin Abdul;Bangladesh
Hossain, M Anwar;Bangladesh
Sultana, Munawar;Bangladesh
Chen, Chunhong;Australia
Norman, Michael;Australia
Forrest, Kerrie;Australia
Lagudah, Evans;Australia
Bariana, Harbans;Australia
Bansal, Urmil;Australia
Hickey, Lee;Australia
Periyannan, Sambasivam;Australia
Feng, Jia-Wu;Germany
Pidon, Hélène;Germany
Guo, Yu;Germany
Jayakodi, Murukarthick;Germany
Šimková, Hana;Czechia
Kumlehn, Jochen;Germany
Houben, Andreas;Germany
Gu, Mengya;China
Lei, Wenlong;China
Ye, Naixing;China
Wang, Pengjie;China
Picardeau, Mathieu;France
Dong, Xiaorui;China
Jiao, Du;China
Xue, Hongzhang;China
Fan, Shiyu;China
Wei, Chaochun;China
Sangsawad, Papungkorn;Thailand
Jung, Won-Kyo;Thailand
Permpoonpattana, Patima;Thailand
Linh, Nguyen Vu;Thailand
Lin, Jun-Jie;China
Zhang, Yong-Jun;China
Sun, Yang;China
Wang, Xin;China
Bulka, Olivia;Canada
Edwards, Elizabeth A;Canada
Isobe, Sachiko;Unknown
Sato, Kazuhiro;Japan
Shirasawa, Kenta;Japan
Ajmi, Nihed;Türkiye
Duman, Muhammed;Türkiye
Yaikhan, Thunchanok;Thailand
Klaysubun, Chollachai;Thailand
Dobhal, Shefali;United States
Hugouvieux-Cotte-Pattat, Nicole;France
Arizala, Dario;United States
Sari, Gamze Boluk;United States
Chuang, Shu-Cheng;United States
Alvarez, Anne M;United States
Arif, Mohammad;United States
Beebe, Merilyn A;United States
Paredes-Sabja, Daniel;United States
Kociolek, Larry K;United States
Rodríguez, César;Costa Rica
Sorg, Joseph A;United States
Eichelman, Matthew C;United States
Meyer, Michelle M;United States
González Ojeda, Indra;United States
Palace, Samantha G;United States
Martinez, Pamela P;United States
Azarian, Taj;United States
Grant, Lindsay R;United States
Hammitt, Laura L;United States
Hanage, William P;United States
Lipsitch, Marc;United States
Garg, Vanika;Australia
Barmukh, Rutwik;Australia
Huang, Yan;China
Chitikineni, Annapurna;Australia
Yang, Bicheng;Australia
Varshney, Rajeev K;Australia
Chusri, Sarunyou;Thailand
Agarwal, Viplav;Canada
Baltrus, David A;Unknown
Dillon, Marcus M;Canada
Weimer, Bart C;United States
Profeta, Rodrigo;United States
Han, So-Ra;Korea, Democratic People's Republic of
Oh, Tae-Jin;Korea, Democratic People's Republic of
Wang, Juan;China
He, Yichen;China
Zhou, Xiujuan;China
Zhang, Lida;China
Cui, Yan;China
Gehring, Andrew;United States
Deng, Xiangyu;United States
Shi, Xianming;China
Wang, Haohao;China
Chen, Yaqin;China
Guo, Yifan;China
Ding, Lijian;China
Zhang, Weiyan;China
He, Shan;China
Rossi, Massimiliano;United States
Ferro, Eddie;United States
Oliva, Marco;United States
Garrison, Erik;United States
Boucher, Christina;United States
Asri, Mobin;United States
Eskandar, Parsa;United States
Kolesnikov, Alexey;United States
Cook, Daniel E;United States
Brambrink, Lucas;United States
Onetto, Cristobal A;Australia
Borneman, Anthony R;Australia
Li, Jiawei;China
Yang, Qing-Yong;China
Liu, Kede;China
Yang, Zhiquan;China
Arredondo-Alonso, Sergio;Norway
Corander, Jukka;Finland
Pöntinen, Anna K;Norway
Hegstad, Kristin;Norway
Stanley, Sydney;United States
Silva-Costa, Catarina;Portugal
Gomes-Silva, Joana;Portugal
Melo-Cristino, Jose;Portugal
Malley, Richard;United States
Ramirez, Mario;Portugal
Stajich, Jason E;United States
Duong, Tuan A;South Africa
Daum, Chris;United States
Yoshinaga, Yuko;United States
Jenkins, Jerry W;United States
Xu, Zhongping;China
Wang, Maojun;China
Nie, Xinhui;China
Jin, Shuangxia;China
Zhang, Xianlong;China
Yuan, Daojun;China
He, Min;China
Du, Zhenglin;China
Chen, Fei;China
Chen, Meili;China
Lu, Cheng;China
Liu, Bin;China
Cong, Qian;Unknown
Hartwick, Nolan T;United States
Bentz, Philip C;United States
Carey, Sarah B;United States
Harkess, Alex;United States
Crawford, Seth;United States
van Sinderen, Douwe;Ireland
Bottacini, Francesca;Ireland
Marini, Simone;United States
Barquero, Alexander;United States
Wadhwani, Anisha Ashok;United States
Bian, Jiang;United States
Ruiz, Jaime;United States
Prosperi, Mattia;United States
Anbarasu, Anand;India
Thaden;Unknown
Ruffin;Unknown
Sutton, Granger;Liberia
Brinkac, Lauren;Liberia
Fowler;Unknown
Mastoras, Mira;United States
Hebbar, Prajna;United States
Nattestad, Maria;United States
Lucas, Julian;United States
Won, Taylor S;United States
Wang, Xu;China
Jiang, Bin;China
Kong, Xiangdong;China
Lisiecka, Anna;Poland
Dojer, Norbert;Poland
Männistö, Minna K;Finland
Kerkhof, Lee J;United States
Häggblom, Max M;United States
Wang, Songhu;China
Fei, Zhangjun;United States
Liu, Yongsheng;China
Zheng, Yi;China
Yue, Junyang;China
Gluck-Thaler, Emile;Switzerland
Forsythe, Adrian;Sweden
Puerner, Charles;United States
Gutierrez-Perez, Cecilia;United States
Cramer, Robert A;United States
Vogan, Aaron A;Sweden
Zytnicki, Matthias;France
Wang, Chufang;China
Ye, Qinghua;China
Jiang, Aiming;China
Zhang, Jumei;China
Shang, Yuting;China
Li, Fan;China
Gu, Qihui;China
Pang, Rui;China
Ding, Yu;China
Wu, Shi;China
Chen, Moutong;China
Wu, Qingping;China
Marin, Maximillian G;United States
Quinones-Olvera, Natalia;United States
Wippel, Christoph;United States
Jeffrey, Brendan M;United States
Harris, Michael;United States
Mann, Brendon C;South Africa
Rosenthal, Alex;United States
Jacobson, Karen R;United States
Warren, Robin M;South Africa
Farhat, Maha R;United States
van Duivenbode, Inge;Netherlands
Jonkheer, Eef M;Netherlands
de Ridder, Dick;Netherlands
van der Lee, Theo A J;Netherlands
Marino, Mary C;United States
Earl, Joshua P;United States
Ehrlich, Rachel L;United States
Cramer, Nicholas A;United States
Mell, Joshua C;United States
Sen, Bhaswati;United States
Ahmed, Azad;United States
Marconi, Richard T;United States
Ehrlich, Garth D;United States
Ortega-Sanz, Irene;Spain
Rovira, Jordi;Spain
Melero, Beatriz;Spain
Lin, Mao-Jan;United States
Safonova, Yana;United States
Matsumoto, Takashi;Japan
Akada, Junko;Japan
Yamaoka, Yoshio;Japan
Stritt, Christoph;Switzerland
Gagneux, Sebastien;Switzerland
Wu, Haolin;China
Liu, Jianquan;China
Karampatakis, Theodoros;Ireland
Tsergouli, Katerina;Ireland
Behzadi, Payam;Iran, Islamic Republic of
Majernik, Stephanie N;United States
Beaver, Larry;United States
Bradley, Patrick H;United States
Lu, Huimin;China
Carvalho, João Victor R P;Brazil
Van Etten, James L;United States
Dunigan, David D;United States
Rodrigues, Rodrigo A L;Brazil
De Maayer, Pieter;South Africa
Smits, Theo H M;Switzerland
Coutinho, Teresa A;South Africa
Azam, Sarwar;India
Zaidi, Sani-E-Zehra;Canada
Zaheer, Rahat;Canada
Zovoilis, Athanasios;Canada
Van Domselaar, Gary;Canada
McAllister, Tim A;Canada
Olivos-Caicedo, Kelly Y;Brazil
Daniel, Steven L;United States
Anantharaman, Karthik;United States
Ridlon, Jason M;United States
Alves, João M P;Brazil
Khang, Luu Tang Phuc;Thailand
Dinh-Hung, Nguyen;United States
Souza, Valeria;Mexico
Chen, Shuai;China
Chai, Kun;China
Zhang, Qing;China
Kong, Weilong;China
Qu, Shenyang;China
Zhang, Fan;China
Zhang, Xingtan;China
Tai, Helen H;Canada
Strömvik, Martina V;Canada
Fernie, Alisdair R;Germany
Di Vittori, Valerio;Italy
Nanni, Laura;Italy
Bitocchi, Elena;Italy
Bellucci, Elisa;Italy
Pieri, Alice;Italy
Papa, Roberto;Italy
Rosen, Benjamin D;United States
Van Tassell, Curtis P;United States
Zhang, Zhe;China
Smith, Timothy P L;United States
Liu, Jiaxin;China
Mo, Dongxin;China
Luo, Lingyun;China
Shi, Yilong;China
Xu, Songsong;China
Klepa, Milena Serenato;Brazil
Hungria, Mariangela;Brazil
Wang, Yi;China
Xu, Xuefeng;China
Han, Zhenhai;China
Lu, Hengyun;China
Zhao, Yan;China
Wei, Xinghua;China
Wang, Ahong;China
Wang, Yongchun;China
Zhan, Qilin;China
Fan, Danlin;China
Zhou, Congcong;China
Lu, Yiqi;China
Tian, Qilin;China
Weng, Qijun;China
Feng, Qi;China
Huang, Tao;China
Zhang, Lei;China
Wang, Ziqun;China
Huang, Xuehui;China
Zhao, Qiang;China
Han, Bin;China
Walkemeier, Birgit;Germany
Huettel, Bruno;Germany
Schneeberger, Korbinian;Germany
Wang, Meng;China
Wang, Shuyi;China
Wang, Hui;China
Bai;China
Liu, Jian-Feng;China
Breiman, Robert F;United States
Cornick, Jennifer E;United Kingdom
Everett, Dean B;Unknown
Sahu, Abhisek;India
Pandey, Naveen Kumar;India
Neupane, Mahesh;United States
Gandham, Ravi Kumar;India
Rath, Subha Narayan;India
Majumdar, Subeer S;India
Jiang, Meiye;China
Qian, Qiheng;China
Zeng, Jingyao;China
Frias-De-Diego, Alba;United States
Jara, Manuel;United States
Lanzas, Cristina;United States
Smith, Byron J;United States
Zhao, Chunyu;United States
Pollard, Katherine S;United States
Kaur, Amandeep;United States
Adhikari, Tika B;United States
Louws, Frank J;United States
Huang, Ying;Germany
Li, Xiuli;China
Song, Bo;China
Cheng, Shifeng;China
Yang, Longbo;China
He, Wenchuang;China
Zhu, Yiwang;China
Lv, Yang;China
Li, Yilin;China
Zhang, Qianqian;China
Liu, Yifan;China
Wang, Tianyi;China
Wei, Hua;China
Cao, Xinglan;China
Zhang, Bin;China
Chen, Wu;China
He, Huiying;China
Wang, Xianmeng;China
Chen, Dandan;China
Liu, Congcong;China
Shi, Chuanlin;China
Liu, Xiangpei;China
Xu, Qiang;China
Yuan, Qiaoling;China
Yu, Xiaoman;China
Qian, Hongge;China
Li, Xiaoxia;China
Zhang, Bintao;China
Leng, Yue;China
Zhang, Zhipeng;China
Dai, Xiaofan;China
Guo, Mingliang;China
Qian, Qian;China
Shang, Lianguang;China
Zanini, Silvia F;Germany
Kopalli, Venkataramana;Germany
Viana, Marcus Vinícius Canário;Brazil
Rodrigues, Diego Lucas Neres;Brazil
Aburjaile, Flavia Figueira;Brazil
da Costa, Mateus Matiuzzi;Brazil
Brenig, Bertram;Germany
Soares, Siomar;Brazil
Azevedo, Vasco;Brazil
van Westerhoven, Anouk C;Netherlands
Wissink, Kyran;Netherlands
Kema, Gert H J;Netherlands
Seidl, Michael F;Netherlands
Han, Hyunho;Korea, Democratic People's Republic of
Zhou, Huijuan;China
Ye, Hang;China
Zhao, Peng;China
Nedashkovskaya, Olga;Russian Federation
Bystritskaya, Evgenia;Russian Federation
Zhukova, Natalia;Russian Federation
Eremeev, Viacheslav;Russian Federation
